,商品名称,商品编号,店铺,商品毛重,品牌,搭配主板,搭配主板(Intel),搭配主板(AMD),接口,板型,处理器,产品净重,产品尺寸（mm）,核心数,制程工艺,质保期,型号,是否自带风扇,是否支持核显,适用场景,主频,三级缓存,功率,商品产地,适用游戏,线程数量,类型,二级缓存,质保年限,图案,电压
0,"英特尔（Intel）酷睿11代i711700K11700KF微星Z590/560主板CPU套装微星Z590-APRO	i7117008核16线程带核显",10029753135161,得丰隆电脑配件专营店,1.5kg,英特尔(Intel),Z590,,,,ATX（标准型）,Inteli7,3kg,300*300,,,,,,,,,,,,,,,,,,
1,英特尔Intel酷睿i910900KF11900K10980XE中文盒装CPU处理器台式机电脑i910900X10核20线程中文原装,71565841091,得丰隆电脑配件专营店,500.00g,英特尔(Intel),X299,X299,,INTELLGA2066,,英特尔,,,十核,14纳米,3年质保,酷睿i9,不带风扇,不支持核显,设计/影像,3.7GHZ,其他,其他,,,,,,,,
2,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,3年质保,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,其他,其他,马来西亚/越南/中国大陆,,,,,,,
3,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95900X12核24线程盒装,42369453644,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,3年质保,锐龙R5,不带风扇,不支持核显,,3.7,64MB,105W,,英雄联盟，魔兽世界，剑灵,,,,,,
4,英特尔Intel酷睿i910900KF11900K10980XE中文盒装CPU处理器台式机电脑i910900X10核20线程中文原装,71565841091,得丰隆电脑配件专营店,500.00g,英特尔(Intel),X299,X299,,INTELLGA2066,,英特尔,,,十核,14纳米,3年质保,酷睿i9,不带风扇,不支持核显,设计/影像,3.7GHZ,其他,其他,,,,,,,,
5,英特尔（Intel）酷睿i710700F11700Fi711700盒装电脑处理器CPU主板套装B560MH板U套装i711700F2.5GHz8核16线程,54272060290,灵竞DIY旗舰店,0.9kg,英特尔(Intel),B560,,,INTELLGA1200，INTEL1151（九代）,M-ATX（紧凑型）,Inteli7,1.5kg,100,,,,,,,,,,,,,,,,,,
6,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95950X16核32线程盒装,51086158739,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,3年质保,锐龙R5,不带风扇,不支持核显,,3.4,64MB,105W,,英雄联盟，魔兽世界，剑灵,16线程,,,,,
7,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95950X16核32线程盒装,51086158739,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,3年质保,锐龙R5,不带风扇,不支持核显,,3.4,64MB,105W,,英雄联盟，魔兽世界，剑灵,16线程,,,,,
8,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95900X12核24线程盒装,42369453644,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,3年质保,锐龙R5,不带风扇,不支持核显,,3.7,64MB,105W,,英雄联盟，魔兽世界，剑灵,,,,,,
9,英特尔（Intel）酷睿i710700F11700Fi711700盒装电脑处理器CPU主板套装B560MH板U套装i711700F2.5GHz8核16线程,54272060290,灵竞DIY旗舰店,0.9kg,英特尔(Intel),B560,,,INTELLGA1200，INTEL1151（九代）,M-ATX（紧凑型）,Inteli7,1.5kg,100,,,,,,,,,,,,,,,,,,
