,商品名称,商品编号,商品毛重,商品产地,型号,体型,机箱类型,支持主板,固态硬盘位,音频接口,硬盘位,光驱位,面板接口,箱体净重(kg),CPU散热器限高,材质,箱体长宽高（mm）,显卡（连供电头总长度）限长,标配风扇数,风扇位,水冷类型,机箱重量,颜色,品牌,电源位置,电源类型,店铺,RGB光控,导风管,标配电源,静音棉,高达/变形种类,外观造型,货号
0,,100009112409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,九州风神CL500,100014680322,9.65kg,中国大陆,,中型机箱（中塔机箱）,玻璃侧透机箱,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,2个,1个耳机接口；1个麦克风接口,4个,0,USB3.0×2、Audio×1、Mic×1,8.4,165mm,ABS塑料；钢化玻璃；SPCC钢材,473mm×226mm×519mm(L×W×H),≤33cm,0,6个,,,,,,,,,,,,,,
2,鑫谷逆鳞黑色机箱,100008093927,3.6kg,中国大陆,逆鳞黑色机箱,中型机箱（中塔机箱）,玻璃侧透机箱,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,3个,AC97/HD,2个,0,USB3.0*1，USB2.0*2，音频接口,3.6,160mm,SPCC钢材,L340*W200*H449mm,≤27cm,0,8个,120冷排,<5kg,黑色,鑫谷（Segotep）,下置,不带电源,,,,,,,,
3,酷冷至尊旋风511/520中塔式电脑机箱MB511/MB520台式机游戏水冷主机箱ATX机箱旋风520机箱+T400I炫彩英特尔版CPU散热器,10023236665948,7.9kg,中国大陆,MB511/MB520二选一,,玻璃侧透机箱,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,5个,1个耳机接口；1个麦克风接口,6个,0,USB|音箱|麦克,6.53,160mm,ABS塑料；钢化玻璃；钢,496X218X468,≤33cm,1个,6个,360冷排，280冷排，240冷排，120冷排,5-8kg,黑色,酷冷至尊（CoolerMaster）,下置,不带电源,PC大佬DIY电脑旗舰店,不支持RGB光控,不支持导风管,不带电源,没有静音棉,,,
4,华硕ROGZ11,100013458670,11.54kg,中国大陆,,MINI机箱,玻璃侧透机箱，铝质机箱,MINI-ITX（迷你型）,2个,1个耳机接口；1个麦克风接口,3个,0,1个USB3.2TypeC2个USB3.2TypeA2个USB2.01个耳机+麦克风,8.73,130mm,ABS塑料；钢化玻璃；钢；铝,194*531*386,≤32cm,3个,5个,240冷排，120冷排,8-12kg,黑色,,下置,不带电源,,支持RGB光控,不支持导风管,,没有静音棉,,,
5,,48385775878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,酷冷至尊TD500MESH白,100017052122,8.15kg,中国大陆,,中型机箱（中塔机箱）,玻璃侧透机箱,E-ATX（加大型），ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,4个,1个耳机接口；1个麦克风接口,4个,0,2xUSB3.2Gen1(USB3.0)、3.5mm耳机接口x1、3.5mm麦克风接口x1,6.95,165mm,ABS塑料；亚克力；钢化玻璃；钢；SPCC钢材,493x217x469mm,≤41cm,3个,7个,360冷排，240冷排，120冷排,5-8kg,白色,,,,,支持RGB光控,,,,,,
7,万代(BANDAI)高达拼插拼装模型HGUC1/144敢达拼插191新生元祖5057403,11176294444,350.00g,日本,,,,,,,,,,,,塑料,,,,,,,混合色,,,,哆啦动漫专营店,,,,,拼装型,高达形象,
8,PHANTEKSPH-EC600PSTG_AG01,100003292780,15.3kg,中国大陆,PH-EC600PSTG_AG01,中型机箱（中塔机箱）,玻璃侧透机箱，静音机箱,E-ATX（加大型），ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,3个,HD；1个耳机接口；1个麦克风接口,10个,0,"USB3.0x2,Type-C/USB3.1x1,重启,麦克风,耳机",14,190mm,钢化玻璃；钢；SGCC钢材,510mmx240mmx520mm,≤42cm,3个,8个,360冷排，280冷排，240冷排，120冷排,12-16kg,黑色,,下置,不带电源,,,不支持导风管,,有静音棉,,,PH-EC600PSTG_AG01
9,乔思伯（JONSBO）MOD-3机甲战士电竞机箱（支持ATX主板/360水冷/ARGB灯效）机甲战士MOD-3灰色-空机箱,33662772246,5.0kg,,MOD-3,大型机箱（全塔机箱）,玻璃侧透机箱，铝质机箱，异形机箱,ATX（标准型），M-ATX（紧凑型）,3个,1个耳机接口；1个麦克风接口,3个,0,USB3.0,8KG,170mm,钢化玻璃；铝；铝合金,232mm（宽）*647mm（长）*620mm（高,≤19cm,0,4个,360冷排，240冷排，120冷排,8-12kg,银色,,,不带电源,申俊电脑专营店,,,,,,,
