,商品名称,商品编号,商品毛重,商品产地,搭配主板,板型,处理器,店铺,M.2接口数量,RGB,适用CPU接口,质保期,是否支持PCIE4.0,INTEL芯片,Wi-Fi连接,SSD固态硬盘接口,适用场景,IDE接口,声道,DDR代数,内存插槽,内存标准,最大内存容量,PCI 插槽,PCI Express x16,PCI Express x1,接口,集成显卡,最大网络速度,平台类型,品牌,型号,板型大小,电源接口,适用游戏,AMD芯片,SATA,RAID支持,声卡特色,PCI Express x4,兼容系列,系统风扇插座,USB扩展接口,CPU风扇插座,RJ 45网络接口,USB,音频接口,HDMI接口,PS/2,游戏特色,货号,IEEE 1394扩展接口,LPT扩展接口,光纤接口,S/PDIF 同轴接口,ESATA,声卡类型,产品净重,产品尺寸（mm）,COM扩展接口,网卡类型,质保年限
0,华硕否,100005879307,2.1kg,中国大陆,X299,ATX（标准型）,Inteli9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,华硕（ASUS）PRIMEZ590-P,68984082117,1.42kg,,,ATX（标准型）,,华硕电脑配件专卖店,3个,ARGB,INTELLGA1200,3年质保,支持PCIE4.0,Z590,不支持,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公,无,其他,DDR4,4xddr4内存插槽,DDR42133；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,2个,2个,INTELLGA1200,非集成显卡,10M/100M/1000M,Intel平台,华硕ASUS,PRIMEZ590-P,30.5cmx23.4cm,24+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,七彩虹CVN?B460MGAMINGFROZENV20,100008978237,1.2kg,中国大陆,,M-ATX（紧凑型）,,,3个,ARGB,INTELLGA1200,3年质保,不支持PCIE4.0,B460,支持WIFI,M.2接口(NVMe协议),发烧/超频,无,5.1声道,DDR4,4xddr4内存插槽,DDR42133；DDR42400；DDR42666；DDR42800；DDR43000,64GB,0个,1个,1个,INTELLGA1200,非集成显卡,10M/100M/1000M,Intel平台,七彩虹COlORFUL,CVNB460MGAMINGPROV20,245*245mm,24+8,英雄联盟，守望先锋，魔兽世界，DOTA2,B550,6个,RAID0，RAID1，RAID5，RAID10,天籁魔音系统,1个,兼容LGA120010代i3、i5、i7处理器,2组,2组,2组CPU风扇插座，2组5V3PINARGB插座,1个,4个,6x3.5mm接口,1个,1xPS/2键鼠接口,,,,,,,,,,,,,
3,华硕PRIMEX570-P,100006445344,1.29kg,中国大陆,,ATX（标准型）,,,2个,不是RGB,AMDAM4,3年质保,支持PCIE4.0,,不支持WiFi,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,8声道,DDR4,4xddr4,DDR42133；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43600；DDR44000及以上,128GB,0个,2个,3个,AMDAM4,非集成显卡,10M/100M/1000M,AMD平台,,PRIMEX570-P,,24+12,,X570,,,,,AMDAM4插槽第3代和第2代AMD锐龙/第2代和第1代AMD锐龙搭载RadeonVegaGraphics处理器,,,,,,,,,其他,,,,,,,,,,,,
4,华硕（ASUS）ROGSTRIXZ490-HGAMING,68968398322,1.74kg,,,ATX（标准型）,,,0个,RGB,intel其他,3年质保,不支持PCIE4.0,,不支持WiFi,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频,无,其他,DDR4,其他,DDR44000及以上,其他,0个,3个,1个,INTEL其他,非集成显卡,其他,Intel平台,,ROGSTRIXZ490-HGAMING,,24+12,看门狗，刺客信条,,,,,0个,,,,,,,其他,,,玩家国度ROG,90MB12S0-M0CAY0,0组,其他,其他,其他,0组,,,,,,
5,华硕（ASUS）PRIMEB460M大师系列电竞游戏主板支持I510400PRIMEB460M-K,69844100947,0.8kg,,,M-ATX（紧凑型）,,华硕(ASUS)华之硕专卖店,1个,不是RGB,INTELLGA1200,3年质保,不支持PCIE4.0,B460,不支持WiFi,M.2接口(NVMe协议),家用/办公,无,7.1声道,DDR4,其他,DDR42133；DDR42400；DDR42666；DDR42800,64GB,0个,1个,2个,INTEL其他,非集成显卡,10M/100M/1000M,Intel平台,华硕ASUS,PRIMEB460M,22.6x21.1cm,24+8,,其他,6个,RAID0，RAID1，RAID5，RAID10,,,,,,,,,,,,,,,,,,,RealtekALC887,,,,,
6,微星MPGX570SEDGEMAXWIFI,100025512222,2.22kg,中国大陆,,ATX（标准型）,,,2个,ARGB,AMDAM4,3年质保,支持PCIE4.0,,支持WIFI,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频,无,7.1声道,DDR4,4xddr4内存插槽,DDR42133；DDR42200；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,3个,1个,AMDAM4,非集成显卡,2500M,AMD平台,微星MSI,MPGX570SEDGEMAXWiFi,305mmx244mm,24+12,英雄联盟，魔兽世界，DOTA2，GTA5,X570,6个,,,,AMD?Ryzen?5000系、5000G系、4000G系、3000系、3000G系、2000系、2000G系台式机CPU,,,,,,,,,微星GAMING,,,,,,,,,,,,
7,AMD锐龙五代新品5600X5800X5900X5950X搭华硕X570主板CPU套装ROGSTRIXX570-EGAMINGR75800X（散片）,10026190080484,2.0kg,,X570,ATX（标准型）,锐龙7,英强科技专营店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2kg,*,,,
8,AMD锐龙五代新品5600X5800X5900X5950X搭华硕X570主板CPU套装ROGSTRIXX570-EGAMINGR75800X（散片）,10026190080484,2.0kg,,X570,ATX（标准型）,锐龙7,英强科技专营店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2kg,*,,,
9,华硕（ASUS）PRIMEB460M大师系列电竞游戏主板支持I510400PRIMEB460M-K,69844100947,0.8kg,,,M-ATX（紧凑型）,,华硕(ASUS)华之硕专卖店,1个,不是RGB,INTELLGA1200,3年质保,不支持PCIE4.0,B460,不支持WiFi,M.2接口(NVMe协议),家用/办公,无,7.1声道,DDR4,其他,DDR42133；DDR42400；DDR42666；DDR42800,64GB,0个,1个,2个,INTEL其他,非集成显卡,10M/100M/1000M,Intel平台,华硕ASUS,PRIMEB460M,22.6x21.1cm,24+8,,其他,6个,RAID0，RAID1，RAID5，RAID10,,,,,,,,,,,,,,,,,,,RealtekALC887,,,,,
