,商品名称,商品编号,店铺,商品毛重,外观特征,DDR代数,类型,型号,商品产地,总容量,平台,内存数量,内存频率,品牌,时序,工作电压,CL值
0,金士顿（Kingston）骇客神条Predator掠食者系列DDR4台式机内存条DDR43000频率32G(8G*4),30019239243,金士顿绿速通专卖店,370.00g,马甲条,DDR4,288-PinDIMM,DDR43000,,,,,,,,,
1,美商海盗船复仇者RGBRS灯条DDR4360016GB(8G×2),100013866309,,140.00g,RGB灯条,DDR4,288-PinDDR4UDIMM,CMG16GX4M2D3600C18,中国大陆/中国台湾,16GB,台式机内存,2条套条,3600/3733MHz,美商海盗船,18-22-22-42,1.35V,18
2,Crucial英睿达(Crucial)DDR426668G台式机内存,100000401911,,20.00g,普条,DDR4,288-PinDIMM,CT8G4DFS8266,中国大陆,8GB,台式机内存,1条单条,2400/2666MHz,英睿达（Crucial）,,1.2V,19
3,美商海盗船复仇者LPXDDR4320016GB,2722809,,100.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB(8G×2),中国大陆/中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,1.35V,16
4,美商海盗船(USCORSAIR)DDR4台式机内存条复仇者RGBPRO灯条白色双条32GB【16GX2】3600频率,10025723217614,华海思达存储专营店,140.00g,RGB灯条,DDR4,288-PinDDR4UDIMM,16Gx23600RGBPRO,,32GB,台式机内存,2条套条,3600/3733MHz,美商海盗船(USCORSAIR),,,
5,Crucial英睿达(Crucial)DDR426668G台式机内存,100000401911,,20.00g,普条,DDR4,288-PinDIMM,CT8G4DFS8266,中国大陆,8GB,台式机内存,1条单条,2400/2666MHz,英睿达（Crucial）,,1.2V,19
6,美商海盗船复仇者LPXDDR4320016GB,2722809,,100.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB(8G×2),中国大陆/中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,1.35V,16
7,G.SKILLF4-3600C18D-16GTRS,100001749045,,240.00g,RGB灯条,DDR4,288-PinDDR4SDRAM,F4-3600C18D-16GTRS,中国台湾,16GB,台式机内存,2条套条,3600/3733MHz,芝奇G.SKILL,,1.35V,
8,美商海盗船复仇者LPXDDR4320032GB,3064213,,105.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320032GB(16Gx2),中国大陆/中国台湾,32GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,1.35V,16
9,美商海盗船（USCORSAIR）DDR4台式机内存条复仇者RGBPRO灯条CM4X320032G(16Gx2)台式机适用,52646247031,美商海盗船存储旗舰店,200.00g,RGB灯条,DDR4,288-PinDDR4SDRAM,CM4X320032G(16GBx2)灯条,,32GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,,
10,美商海盗船(USCORSAIR)DDR4台式机内存条复仇者RGBPRO灯条白色双条32GB【16GX2】3600频率,10025723217614,华海思达存储专营店,140.00g,RGB灯条,DDR4,288-PinDDR4UDIMM,16Gx23600RGBPRO,,32GB,台式机内存,2条套条,3600/3733MHz,美商海盗船(USCORSAIR),,,
11,美商海盗船(USCORSAIR)DDR4台式机内存条复仇者RGBPRO灯条白色双条32GB【16GX2】3600频率,10025723217614,华海思达存储专营店,140.00g,RGB灯条,DDR4,288-PinDDR4UDIMM,16Gx23600RGBPRO,,32GB,台式机内存,2条套条,3600/3733MHz,美商海盗船(USCORSAIR),,,
12,美商海盗船复仇者LPXDDR4320016GB,2722809,,100.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB(8G×2),中国大陆/中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,1.35V,16
13,美商海盗船复仇者LPXDDR4320016GB,2722809,,100.00g,马甲条,DDR4,288-PinDDR4UDIMM,复仇者LPXDDR4320016GB(8G×2),中国大陆/中国台湾,16GB,台式机内存,2条套条,3200/3333MHz,美商海盗船,,1.35V,16
