,商品名称,商品编号,店铺,商品毛重,货号,商品产地,热管数量,水冷类型,型号,风量,散热片材质,散热器高度,电源接口,散热器尺寸,散热方式,风扇转速（RPM）,电压,类型,建议机箱,灯效,品牌,噪音(dB(A)),兼容接口,背板材质,类别,风冷鳍片,风冷底座
0,定制铜管不锈钢管PVC管割管刀管子割刀飞越割管刀空调铜管割刀VTC28B(4-28MM),63647912211,解之冬炫金属加工配件专营店,0.6kg,A539898639224-,,,,,,,,,,,,,,,,,,,,,,
1,九州风神堡垒/水元素幻彩120/240/360CPU一体式水冷散热器泄压冷排ARGB风扇堡垒360RGB版V2+MG-8高导热硅脂,10034106451596,京天DIY电脑旗舰店,2.0kg,,中国大陆,无热管,360冷排,120/240/360,85,铜,27mm,4pin,282x120x27mm,水冷,500~1800,12VDC（水泵额定电压）,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,酷冷至尊（CoolerMaster）冰神B360ARGB,66277432950,PC大佬DIY电脑旗舰店,2.5kg,,,,360冷排,冰神B360ARGB,62CFM(Max),铝,30mm,4pin,394x119.6x27.2mm,水冷,650~1800RPM±10%,12V,一体式水冷散热器,宽度大于210mm,ARGB,酷冷CoolerMaster,8~27dBA,,,,,
4,华硕ROG龙神240,100001516122,,2.335kg,,中国大陆,,240冷排,华硕（ASUS）ROG龙神240一体式CPU水冷散热器,121.8,,70mm,4pin,272x121x27,水冷,450~2000,5V/12V,一体式水冷散热器,,ARGB,华硕ASUS,29.7,AMDsTRX4，INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDTR4，AMDAM4，整合CPU主板,塑料,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,酷冷至尊（CoolerMaster）冰神B360ARGB,66277432950,PC大佬DIY电脑旗舰店,2.5kg,,,,360冷排,冰神B360ARGB,62CFM(Max),铝,30mm,4pin,394x119.6x27.2mm,水冷,650~1800RPM±10%,12V,一体式水冷散热器,宽度大于210mm,ARGB,酷冷CoolerMaster,8~27dBA,,,,,
7,赤核RX-0360一体式水冷,100018845214,,2.085kg,,中国大陆,,360冷排,高达联名独角兽款360一体式水冷,35.8（MAX）,铝质水冷排,53mm,3pin,395X120x27(mm),水冷,800-1600RPM±10%,12V,一体式水冷散热器,宽度大于210mm,ARGB,赤核,27（MAX）,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDTR4，AMDAM4，整合CPU主板,,,,
8,酷冷至尊（CoolerMaster）冰神B360ARGB,66277432950,PC大佬DIY电脑旗舰店,2.5kg,,,,360冷排,冰神B360ARGB,62CFM(Max),铝,30mm,4pin,394x119.6x27.2mm,水冷,650~1800RPM±10%,12V,一体式水冷散热器,宽度大于210mm,ARGB,酷冷CoolerMaster,8~27dBA,,,,,
9,攀升高达联名女妖款一体式CPU水冷散热器(PWM智能温控风扇/多平台/可调色RGB冷头/ARGB）报丧女妖360版,10025426175802,攀升DIY电脑旗舰店,1.0kg,,,无热管,360冷排,攀升高达报丧女妖,其他,其他,53mm,3pin,395X120x27,水冷,800-1600RPM±10%,12V,一体式水冷散热器,宽度大于210mm,,,,INTELLGA2066，INTEL1151（九代），INTELLGA1200，INTEL1151（八代），AMDTR4，AMDAM4,塑料,,,
